Fund,HHI_Index,Concentration_Risk
Fund_1,0.3107244821644445,High
Fund_2,0.35935167329226597,High
Fund_3,0.45058984338994873,High
Fund_4,0.3302975936740838,High
Fund_5,0.44434925613372284,High
Fund_6,0.2686718898546857,High
Fund_7,0.32487617801823687,High
Fund_8,0.4095765919310852,High
Fund_9,0.3891985786174573,High
Fund_10,0.38534208307508505,High
Fund_11,0.5010873600273333,High
Fund_12,0.29165013289820874,High
Fund_13,0.36215630311649866,High
Fund_14,0.23237711120296578,Moderate
Fund_15,0.3392186446810668,High
Fund_16,0.31459432807632104,High
Fund_17,0.3266480988800057,High
Fund_18,0.4913023548100939,High
Fund_19,0.36876741310230127,High
Fund_20,0.5600541892286803,High
Fund_21,0.4094205882475405,High
Fund_22,0.2694737628484744,High
Fund_23,0.27967524891223333,High
Fund_24,0.22939899177457795,Moderate
Fund_25,0.35723069668846563,High
Fund_26,0.2556434990920917,High
Fund_27,0.2952481249658441,High
Fund_28,0.32187457190660906,High
Fund_29,0.26331528808050414,High
Fund_30,0.2963094952396768,High
Fund_31,0.25932898032941976,High
Fund_32,0.3865063874016351,High
Fund_33,0.2260772183659907,Moderate
Fund_34,0.4365958978436749,High
Fund_35,0.31025718214691356,High
Fund_36,0.33131865871470856,High
Fund_37,0.46051199087059996,High
Fund_38,0.41803831397749347,High
Fund_39,0.2861142282769142,High
Fund_40,0.31952132766494407,High
