Investor_ID,Avg_Transaction_Gap,Max_Transaction_Gap,Status
INV_0001,30.0,30.0,active
INV_0002,29.666666666666668,32.0,active
INV_0004,30.0,32.0,active
INV_0005,23.6,30.0,active
INV_0006,30.625,35.0,active
INV_0008,30.833333333333332,35.0,active
INV_0009,29.285714285714285,60.0,at-risk
INV_0011,33.8,68.0,at-risk
INV_0012,30.0,30.0,active
INV_0015,30.3,60.0,at-risk
INV_0016,30.5,35.0,active
INV_0017,30.0,35.0,active
INV_0018,30.0,32.0,active
INV_0019,33.8,68.0,at-risk
INV_0020,30.0,62.0,at-risk
INV_0021,29.166666666666668,30.0,active
INV_0022,30.0,32.0,active
INV_0023,30.0,32.0,active
INV_0025,29.6,32.0,active
INV_0026,30.0,33.0,active
INV_0027,30.0,60.0,at-risk
INV_0028,30.285714285714285,60.0,at-risk
INV_0029,30.0,35.0,active
INV_0030,29.714285714285715,60.0,at-risk
INV_0031,30.0,35.0,active
INV_0032,30.0,35.0,active
INV_0033,30.0,60.0,at-risk
INV_0034,31.2,60.0,at-risk
INV_0035,30.25,35.0,active
INV_0036,30.2,35.0,active
INV_0037,30.0,60.0,at-risk
INV_0038,30.0,55.0,at-risk
INV_0041,30.555555555555557,68.0,at-risk
INV_0042,30.0,35.0,active
INV_0043,31.6,63.0,at-risk
INV_0044,34.22222222222222,66.0,at-risk
INV_0045,30.0,33.0,active
INV_0049,29.77777777777778,33.0,active
INV_0050,30.4,62.0,at-risk
INV_0053,30.714285714285715,60.0,at-risk
INV_0054,30.833333333333332,33.0,active
INV_0055,30.0,35.0,active
INV_0056,31.6,60.0,at-risk
INV_0057,29.6,30.0,active
INV_0058,30.0,35.0,active
INV_0060,30.0,30.0,active
INV_0061,30.555555555555557,65.0,at-risk
INV_0062,26.2,32.0,active
INV_0064,30.0,32.0,active
INV_0066,30.0,55.0,at-risk
INV_0067,30.88888888888889,60.0,at-risk
INV_0068,30.4,32.0,active
INV_0069,30.0,35.0,active
INV_0070,30.0,35.0,active
INV_0071,30.0,60.0,at-risk
INV_0072,30.0,33.0,active
INV_0073,30.5,60.0,at-risk
INV_0074,30.0,55.0,at-risk
INV_0076,29.77777777777778,35.0,active
INV_0079,30.2,32.0,active
INV_0080,33.8,68.0,at-risk
INV_0081,31.0,60.0,at-risk
INV_0082,31.333333333333332,65.0,at-risk
INV_0083,29.7,58.0,at-risk
INV_0085,29.714285714285715,32.0,active
INV_0086,30.285714285714285,60.0,at-risk
INV_0087,29.666666666666668,65.0,at-risk
INV_0088,30.833333333333332,35.0,active
INV_0089,29.77777777777778,33.0,active
INV_0090,29.8,60.0,at-risk
INV_0092,30.0,32.0,active
INV_0095,29.714285714285715,58.0,at-risk
INV_0096,34.5,66.0,at-risk
INV_0097,30.0,55.0,at-risk
INV_0098,30.333333333333332,35.0,active
INV_0099,30.0,33.0,active
INV_0101,30.4,35.0,active
INV_0102,29.6,32.0,active
INV_0103,30.285714285714285,35.0,active
INV_0104,30.0,35.0,active
INV_0105,25.625,35.0,active
INV_0106,30.0,35.0,active
INV_0107,30.0,30.0,active
INV_0108,23.6,32.0,active
INV_0109,30.0,30.0,active
INV_0112,30.0,30.0,active
INV_0113,29.6,33.0,active
INV_0114,30.2,57.0,at-risk
INV_0116,30.0,35.0,active
INV_0117,30.0,35.0,active
INV_0118,30.0,32.0,active
INV_0119,30.833333333333332,35.0,active
INV_0120,35.42857142857143,68.0,at-risk
INV_0121,29.166666666666668,60.0,at-risk
INV_0123,30.0,32.0,active
INV_0124,30.0,30.0,active
INV_0126,30.333333333333332,32.0,active
INV_0127,29.8,32.0,active
INV_0132,30.0,32.0,active
INV_0134,30.0,35.0,active
INV_0135,30.285714285714285,35.0,active
INV_0136,30.375,35.0,active
INV_0137,30.0,32.0,active
INV_0139,24.0,32.0,active
INV_0140,30.0,60.0,at-risk
INV_0141,29.714285714285715,35.0,active
INV_0143,29.5,32.0,active
INV_0144,30.0,35.0,active
INV_0146,30.25,58.0,at-risk
INV_0147,29.6,35.0,active
INV_0148,30.0,32.0,active
INV_0149,30.285714285714285,35.0,active
