Fund,VaR_95,CVaR_95
Fund_1,-0.019601575756395755,-0.024956288985486054
Fund_2,-0.020693688526454902,-0.02419545223391719
Fund_3,-0.019296752492600856,-0.025757488437523974
Fund_4,-0.01931106949711777,-0.024097018457966662
Fund_5,-0.019825267538376035,-0.024773745735981765
Fund_6,-0.02036948744647349,-0.024954128959798646
Fund_7,-0.019864497595134433,-0.025278557550269313
Fund_8,-0.01894351617160149,-0.023634327965887495
Fund_9,-0.018295741347024767,-0.023722473053450852
Fund_10,-0.020454748109050562,-0.024961516631882626
Fund_11,-0.01705091681909254,-0.02255545556146766
Fund_12,-0.018247512773369057,-0.024838431450559847
Fund_13,-0.018970518066903762,-0.026320193938869578
Fund_14,-0.01926192740531335,-0.024236903486481914
Fund_15,-0.01866036466469416,-0.023234546459954153
Fund_16,-0.01947047966305704,-0.023145720032266656
Fund_17,-0.01884483851691273,-0.023448260619810306
Fund_18,-0.018706923449843968,-0.024318751304147766
Fund_19,-0.01770672823772166,-0.02271850589959666
Fund_20,-0.01938818935504083,-0.02322327869840403
Fund_21,-0.02068992067102711,-0.02587775000886236
Fund_22,-0.01961396020417166,-0.023798039609549286
Fund_23,-0.01897971373441664,-0.02383344474012088
Fund_24,-0.019087350174260637,-0.024179056466881284
Fund_25,-0.019265817552120975,-0.02517284124220104
Fund_26,-0.01944210845237051,-0.024368453746813803
Fund_27,-0.020697595759451327,-0.02571879624756296
Fund_28,-0.01811196954433749,-0.023435757448787897
Fund_29,-0.01988711512459703,-0.02631574201132021
Fund_30,-0.018669696363608507,-0.023584235925489343
Fund_31,-0.018042641509644963,-0.022883572899915494
Fund_32,-0.020684466048126474,-0.02576586720678491
Fund_33,-0.01984907915337639,-0.02560996957269536
Fund_34,-0.01982277635283738,-0.024294297789817655
Fund_35,-0.017923399906105173,-0.023401453835814
Fund_36,-0.018265938786629198,-0.022217419436210584
Fund_37,-0.018246983135656338,-0.024348246003271398
Fund_38,-0.020205545260714157,-0.02486114438894945
Fund_39,-0.01842283587670389,-0.02355669642944691
Fund_40,-0.018080153222365426,-0.022523499593628003
